cell,tier,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t_abn,p_abn,median_t50h,note
cross_macro_on_sports,S1,8,125,True,0.0016283202952233516,0.05884408790071141,0.0007462954707740562,0.002510345119672647,4.3653710777374295,0.0032925665995779682,4.0,
cross_sports_on_macro,M?,14,35,True,-0.0889927535909709,-0.2815419152316806,-0.1537557991834287,-0.02422970799851311,-2.968624371372704,0.010875542030296356,13.316666666666666,
sched_macro,M3,1,80,False,0.09255994411423447,0.7166481200769582,,,,,10.0,descriptive only (n<5 unique events)
sched_macro,M?,1,21,False,-0.015031249695017814,-0.20516020595866827,,,,,15.5,descriptive only (n<5 unique events)
sched_sports,S1,5,126,True,0.003774900411665629,-0.07213585475693082,-0.011995486076024946,0.019545286899356206,0.6645876294001344,0.5426688745155845,4.0,
unsched_macro,M3,4,459,False,0.02770791429505616,0.23675328797832207,,,,,16.0,descriptive only (n<5 unique events)
unsched_macro,M?,4,438,False,0.06337265817159017,0.5683734588623429,,,,,28.0,descriptive only (n<5 unique events)
unsched_sports,S1,15,455,True,-0.00147749482624206,-0.01702398885615913,-0.002780707068482835,-0.00017428258400128483,-2.431615612619937,0.029052655052064297,10.683333333333334,
