h2_cell,direction,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t,p,prediction
cross_macro_on_sports,macro news -> sports markets,8,128,True,0.0016283202952233516,0.05884408790071141,0.0007462954707740562,0.002510345119672647,4.3653710777374295,0.0032925665995779682,indistinguishable from zero
cross_sports_on_macro,sports news -> macro markets,14,30,True,-0.08150916577178526,-0.09205609277007053,-0.1525568080940869,-0.010461523449483631,-2.4784755861261796,0.027689392238940357,indistinguishable from zero
