event_id,ticker,exclude_reason,n_base,baseline_window,baseline_mean,day0_date,day0_mid,abn_day0,win_end_date,win_end_mid,abn_win_end,vol_day0,vol_base_daily,vol_ratio,label
nfl_trade_deadline,KXSB-27-SF,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-SEA,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-PIT,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-PHI,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-NYJ,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-NYG,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-NO,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-NE,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-MIN,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-MIA,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-LV,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-LAR,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-LAC,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-KC,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-JAC,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-IND,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-HOU,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-GB,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-DET,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-DEN,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-DAL,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-CLE,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-CIN,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-CHI,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-CAR,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-BUF,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-BAL,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-ATL,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
nfl_trade_deadline,KXSB-27-ARI,no_post_event_data,,,,,,,,,,,,,EXCLUDED (see exclude_reason)
