event_id,cell,window_days,baseline_rule,event_type,market_kind,n_pairs,tier,abn_event,abn_event_logodds,t50_event
mitchell_robinson_to_celtics,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,0.0006089743589743576,0.12458196176295101,12.35
mitchell_robinson_to_celtics,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,0.00020833333333333318,0.09441299759347281,12.35
mitchell_robinson_to_celtics,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,0.00038690476190476143,0.09788113398758543,12.35
myles_garrett_to_rams,unsched_sports,1,strict,unscheduled_sports,sports_future,32,S1,0.0006124999999999997,-0.026585181722424064,10.683333333333334
myles_garrett_to_rams,unsched_sports,3,strict,unscheduled_sports,sports_future,32,S1,0.0002999999999999994,-0.028910971081413203,10.683333333333334
myles_garrett_to_rams,unsched_sports,5,strict,unscheduled_sports,sports_future,32,S1,0.0002999999999999994,-0.028910971081413203,10.683333333333334
nba_schedule_release,sched_sports,1,strict,scheduled_sports,sports_future,30,S1,-0.0011435606060606054,-0.11092204715753545,8.866666666666667
nba_schedule_release,sched_sports,3,strict,scheduled_sports,sports_future,30,S1,-0.0017363181504485847,-0.13861844559959263,8.866666666666667
nba_schedule_release,sched_sports,5,strict,scheduled_sports,sports_future,30,S1,-0.0020526515151515147,-0.13173915126035945,8.866666666666667
neemias_queta_extension,unsched_sports,1,strict,unscheduled_sports,sports_future,30,S1,0.0005635435992578837,0.09992313004975084,14.116666666666667
neemias_queta_extension,unsched_sports,3,strict,unscheduled_sports,sports_future,30,S1,0.0007421150278293115,0.10339126644386344,14.116666666666667
neemias_queta_extension,unsched_sports,5,strict,unscheduled_sports,sports_future,30,S1,-0.004266528925619837,0.06017658817303471,14.116666666666667
nfl_kickoff,sched_sports,1,strict,scheduled_sports,sports_future,32,S1,0.0005374999999999976,0.004990580819524304,3.6666666666666665
nfl_kickoff,sched_sports,3,strict,scheduled_sports,sports_future,32,S1,0.00022499999999999853,0.024870241580033627,3.6666666666666665
nfl_kickoff,sched_sports,5,strict,scheduled_sports,sports_future,32,S1,0.00022499999999999864,0.015765891484047112,99.66666666666667
nvda_earnings,unsched_macro,1,strict,unscheduled_macro,macro_bucket,91,M?,-0.005613402746981751,0.05101057512304181,4.0
nvda_earnings,unsched_macro,3,strict,unscheduled_macro,macro_bucket,121,M?,-0.0036638537978457442,0.038823587557247505,4.0
nvda_earnings,unsched_macro,5,strict,unscheduled_macro,macro_bucket,122,M?,0.011779270857898719,0.15471089584665776,28.0
perim_island_seized,unsched_macro,1,strict,unscheduled_macro,macro_bucket,134,M3,0.02634318157691841,0.24281585051339002,4.0
perim_island_seized,unsched_macro,3,strict,unscheduled_macro,macro_bucket,137,M3,0.04303155611061713,0.33431840758782966,4.0
perim_island_seized,unsched_macro,5,strict,unscheduled_macro,macro_bucket,139,M3,0.045241008667092096,0.4388149132590812,28.0
russia_sanctions_bill,unsched_macro,1,strict,unscheduled_macro,macro_bucket,106,M?,0.051188685543019426,0.4836960115210651,4.0
russia_sanctions_bill,unsched_macro,3,strict,unscheduled_macro,macro_bucket,119,M?,0.08123791666712497,0.7544464516441062,28.0
russia_sanctions_bill,unsched_macro,5,strict,unscheduled_macro,macro_bucket,119,M?,0.07136712284528982,0.6895167338193697,28.0
tariff_eu_threat,unsched_macro,1,strict,unscheduled_macro,macro_bucket,106,M?,0.051188685543019426,0.4836960115210651,4.0
tariff_eu_threat,unsched_macro,3,strict,unscheduled_macro,macro_bucket,119,M?,0.08123791666712497,0.7544464516441062,28.0
tariff_eu_threat,unsched_macro,5,strict,unscheduled_macro,macro_bucket,119,M?,0.07136712284528982,0.6895167338193697,28.0
trump_truth_fed,unsched_macro,1,strict,unscheduled_macro,macro_bucket,67,M?,0.059518799878723154,0.444701329231273,4.0
trump_truth_fed,unsched_macro,3,strict,unscheduled_macro,macro_bucket,79,M?,0.09467865314995648,0.7257773446039121,28.0
trump_truth_fed,unsched_macro,5,strict,unscheduled_macro,macro_bucket,79,M?,0.0971907135804754,0.7589816878433127,28.0
von_miller_to_cowboys,unsched_sports,1,strict,unscheduled_sports,sports_future,32,S1,0.00039999999999999996,0.0032224891997428423,2.8333333333333335
von_miller_to_cowboys,unsched_sports,3,strict,unscheduled_sports,sports_future,32,S1,-6.874999999999958e-05,-0.0027944851867294784,2.8333333333333335
von_miller_to_cowboys,unsched_sports,5,strict,unscheduled_sports,sports_future,32,S1,0.00041290322580645155,0.003326440464250676,2.8333333333333335
