h2_cell,direction,window_days,sample,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t,p,prediction,label
cross_sports_on_macro,sports news -> macro markets (far-expiry),1,strict_excl_sched_macro_in_window,10,30,True,-0.09509619930508091,-0.6576849804279175,-0.15512677890156631,-0.035065619708595515,-3.5835494152055203,0.005897935913278133,indistinguishable from zero,POST-PREREG SUPPLEMENTARY (D12 re-pull: far-expiry macro contracts)
cross_sports_on_macro,sports news -> macro markets (far-expiry),3,strict_excl_sched_macro_in_window,10,37,True,-0.12016414616085669,-1.1394265304481808,-0.2060900489339076,-0.0342382433878058,-3.1635417862341275,0.011484614077587371,indistinguishable from zero,POST-PREREG SUPPLEMENTARY (D12 re-pull: far-expiry macro contracts)
cross_sports_on_macro,sports news -> macro markets (far-expiry),5,strict_excl_sched_macro_in_window,10,33,True,-0.07241901629072683,-0.5727440841843802,-0.15382285332582366,0.008984820744369987,-2.012475116499641,0.07502779879257958,indistinguishable from zero,POST-PREREG SUPPLEMENTARY (D12 re-pull: far-expiry macro contracts)
