contrast,a,b,n_a,n_b,n_pairs_a,n_pairs_b,mean_abn_a,mean_abn_b,mean_logodds_a,mean_logodds_b,median_t50h_a,median_t50h_b,t_abn,p_abn,t_t50,p_t50,tested,note,p_abn_holm,p_t50_holm
H1a,unsched_macro,sched_macro,8,1,897,80,0.045540286233323166,0.09255994411423447,0.4025633734203325,0.7166481200769582,28.0,10.0,,,,,False,descriptive only (n<5 unique events in a cell),,
H1b,unsched_sports,sched_sports,15,2,455,62,-0.00147749482624206,-0.000755659075224293,-0.01702398885615913,-0.056874102009779506,10.683333333333334,6.266666666666667,,,,,False,descriptive only (n<5 unique events in a cell),,
H1c,unsched_sports,unsched_macro,15,8,455,897,-0.00147749482624206,0.045540286233323166,-0.01702398885615913,0.4025633734203325,10.683333333333334,28.0,-3.6428262524596824,0.008192925290237059,-2.0929495548533135,0.06958904187832606,True,,0.008192925290237059,0.06958904187832606
H1d,sched_sports,sched_macro,2,1,62,80,-0.000755659075224293,0.09255994411423447,-0.056874102009779506,0.7166481200769582,6.266666666666667,10.0,,,,,False,descriptive only (n<5 unique events in a cell),,
