cell,tier,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t_abn,p_abn,median_t50h,note
cross_macro_on_sports,S1,8,125,True,0.0016283202952233516,0.05884408790071141,0.0007462954707740562,0.002510345119672647,4.3653710777374295,0.0032925665995779682,4.0,
cross_sports_on_macro,M?,14,32,True,-0.099869241686209,-0.28602711853371166,-0.17920500877960943,-0.020533474592808576,-2.7195095905408233,0.01752930597908775,13.316666666666666,
sched_macro,M3,1,47,False,0.09233448417431933,0.9298563322943305,,,,,10.0,descriptive only (n<5 unique events)
sched_sports,S1,5,126,True,0.003774900411665629,-0.07213585475693082,-0.011995486076024946,0.019545286899356206,0.6645876294001344,0.5426688745155845,4.0,
unsched_macro,M3,4,180,False,0.02809798528633093,0.340562223628539,,,,,4.0,descriptive only (n<5 unique events)
unsched_macro,M?,4,256,False,0.04762750773717185,0.6165372840722062,,,,,4.0,descriptive only (n<5 unique events)
unsched_sports,S1,15,455,True,-0.00147749482624206,-0.01702398885615913,-0.002780707068482835,-0.00017428258400128483,-2.431615612619937,0.029052655052064297,10.683333333333334,
