cell,tier,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t_abn,p_abn,median_t50h,note
sched_macro,M3,1,82,False,0.09225044456491441,0.7022855862382718,,,,,10.0,descriptive only (n<5 unique events)
sched_sports,S1,2,62,False,-0.000755659075224293,-0.056874102009779506,,,,,6.266666666666667,descriptive only (n<5 unique events)
unsched_macro,M3,4,451,False,0.0285696567758886,0.24077814636080916,,,,,16.0,descriptive only (n<5 unique events)
unsched_macro,M?,4,435,False,0.0679444194049758,0.603867284128615,,,,,28.0,descriptive only (n<5 unique events)
unsched_sports,S1,14,430,True,-0.0011663635043069691,-0.005877640569089101,-0.002377529003177013,4.480199456307504e-05,-2.0804548668993856,0.05782550700924238,10.841666666666667,
