h2_cell,direction,window_days,sample,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t,p,prediction,label
cross_sports_on_macro,sports news -> macro markets (far-expiry),1,pseudo_T0-14d,14,32,True,-0.06890660341211581,-0.559200852776872,-0.1403757801930256,0.002562573368793966,-2.0829072467291616,0.05756929335440399,indistinguishable from zero,POST-PREREG SUPPLEMENTARY (D12 re-pull: far-expiry macro contracts)
cross_sports_on_macro,sports news -> macro markets (far-expiry),3,pseudo_T0-14d,13,40,True,-0.09641948232926494,-0.9316252019955076,-0.22147999247366146,0.028641027815131573,-1.67982686849707,0.11881573324087527,indistinguishable from zero,POST-PREREG SUPPLEMENTARY (D12 re-pull: far-expiry macro contracts)
cross_sports_on_macro,sports news -> macro markets (far-expiry),5,pseudo_T0-14d,12,40,True,-0.01679345434155215,-0.171773140551133,-0.1892284928158479,0.15564158413274357,-0.21435402061743192,0.834192839449702,indistinguishable from zero,POST-PREREG SUPPLEMENTARY (D12 re-pull: far-expiry macro contracts)
