cell,tier,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t_abn,p_abn,median_t50h,note
cross_macro_on_sports,S1,8,128,True,0.0016283202952233516,0.05884408790071141,0.0007462954707740562,0.002510345119672647,4.3653710777374295,0.0032925665995779682,4.0,
cross_sports_on_macro,M?,14,29,True,-0.0939521221209916,-0.14198438899347193,-0.17785482014082837,-0.01004942410115485,-2.419126257301047,0.030955801845701854,13.316666666666666,
sched_macro,M3,1,49,False,0.09180295233961748,0.9051902415713691,,,,,10.0,descriptive only (n<5 unique events)
sched_sports,S1,4,100,False,0.0060767985915051136,-0.05864830479468156,,,,,4.0,descriptive only (n<5 unique events)
unsched_macro,M3,4,184,False,0.028047697930009094,0.33717841161229745,,,,,4.0,descriptive only (n<5 unique events)
unsched_macro,M?,4,253,False,0.05550558946498918,0.6818424576336428,,,,,4.0,descriptive only (n<5 unique events)
unsched_sports,S1,14,430,True,-0.0011663635043069691,-0.005877640569089101,-0.002377529003177013,4.480199456307504e-05,-2.0804548668993856,0.05782550700924238,10.841666666666667,
