market_kind,n,mean_abn,t,p,verdict
macro_bucket,50,-0.02348292074580026,-1.9126271986573626,0.06203376119979455,PASS (no effect)
sports_future,50,-0.0010374201098208656,-0.06078285646538026,0.9518012993560871,PASS (no effect)
