contrast,a,b,n_a,n_b,n_pairs_a,n_pairs_b,mean_abn_a,mean_abn_b,mean_logodds_a,mean_logodds_b,median_t50h_a,median_t50h_b,t_abn,p_abn,t_t50,p_t50,tested,note,p_abn_holm,p_t50_holm
H1a,unsched_macro,sched_macro,8,2,886,102,0.0482570380904322,0.038609597434948295,0.42232271524471215,0.24856269013980176,28.0,12.75,,,,,False,descriptive only (n<5 unique events in a cell),,
H1b,unsched_sports,sched_sports,14,4,430,100,-0.0011663635043069691,0.0060767985915051136,-0.005877640569089101,-0.05864830479468156,10.841666666666667,4.0,,,,,False,descriptive only (n<5 unique events in a cell),,
H1c,unsched_sports,unsched_macro,14,8,430,886,-0.0011663635043069691,0.0482570380904322,-0.005877640569089101,0.42232271524471215,10.841666666666667,28.0,-3.6094996846819027,0.008580792562042524,-1.9700893680311613,0.0849250380078247,True,,0.008580792562042524,0.0849250380078247
H1d,sched_sports,sched_macro,4,2,100,102,0.0060767985915051136,0.038609597434948295,-0.05864830479468156,0.24856269013980176,4.0,12.75,,,,,False,descriptive only (n<5 unique events in a cell),,
