market_kind,n,mean_abn,t,p,verdict
macro_bucket,50,-0.003965053477419767,-0.1637944669973433,0.8706604130128878,PASS (no effect)
sports_future,50,-0.0020039974937343373,-1.1643535238099136,0.2500354039399356,PASS (no effect)
