contrast,a,b,n_a,n_b,n_pairs_a,n_pairs_b,mean_abn_a,mean_abn_b,mean_logodds_a,mean_logodds_b,median_t50h_a,median_t50h_b,t_abn,p_abn,t_t50,p_t50,tested,note,p_abn_holm,p_t50_holm
H1a,unsched_macro,sched_macro,8,1,436,47,0.03786274651175139,0.09233448417431933,0.47854975385037263,0.9298563322943305,4.0,10.0,,,,,False,descriptive only (n<5 unique events in a cell),,
H1b,unsched_sports,sched_sports,15,5,455,126,-0.00147749482624206,0.003774900411665629,-0.01702398885615913,-0.07213585475693082,10.683333333333334,4.0,-0.9194610954417293,0.40879278390702867,2.8538959840016487,0.011386155141322766,True,,0.40879278390702867,0.022772310282645532
H1c,unsched_sports,unsched_macro,15,8,455,436,-0.00147749482624206,0.03786274651175139,-0.01702398885615913,0.47854975385037263,10.683333333333334,4.0,-3.777977796963416,0.006823865513727362,0.40333708796717926,0.6955057796274073,True,,0.013647731027454724,0.6955057796274073
H1d,sched_sports,sched_macro,5,1,126,47,0.003774900411665629,0.09233448417431933,-0.07213585475693082,0.9298563322943305,4.0,10.0,,,,,False,descriptive only (n<5 unique events in a cell),,
