event_id,ticker,event_type,market_kind,window_days,n_base,baseline_fallback,abnormal_move,abn_logodds,abn_scaled,time_to_50h,avg_spread,n_trades,vol_window,vol_base_daily,d_oi,pre_mid,surprise,moneyness_steps,cell,pair_source
jordan_walsh_extension,KXFED-26OCT-T5.25,unscheduled_sports,macro_bucket,1,9,True,,,,,0.02,,0.0,58.666666666666664,0.0,,,,cross_sports_on_macro,primary_pull
jordan_walsh_extension,KXFED-26OCT-T5.00,unscheduled_sports,macro_bucket,1,12,False,,,,,0.02,,0.0,17.125,0.0,,,,cross_sports_on_macro,primary_pull
jordan_walsh_extension,KXCPI-26OCT-T0.5,unscheduled_sports,macro_bucket,1,14,False,,,,,0.99,,0.0,2.8125,0.0,,,,cross_sports_on_macro,rescue_next_far_expiry
jordan_walsh_extension,KXCPI-26OCT-T0.4,unscheduled_sports,macro_bucket,1,9,False,,,,,0.99,,0.0,2.533333333333333,0.0,,,,cross_sports_on_macro,rescue_next_far_expiry
lebron_to_76ers,KXCPI-26OCT-T0.5,unscheduled_sports,macro_bucket,1,14,False,,,,,0.99,,0.0,2.8125,0.0,,,,cross_sports_on_macro,rescue_next_far_expiry
lebron_to_76ers,KXCPI-26OCT-T0.4,unscheduled_sports,macro_bucket,1,9,False,,,,,0.99,,0.0,2.533333333333333,0.0,,,,cross_sports_on_macro,rescue_next_far_expiry
brian_oneill_extension,KXFED-26OCT-T5.25,unscheduled_sports,macro_bucket,1,8,True,,,,,0.01,,0.0,41.411764705882355,0.0,,,,cross_sports_on_macro,primary_pull
brian_oneill_extension,KXFED-26OCT-T5.00,unscheduled_sports,macro_bucket,1,9,False,-0.02611111111111112,-1.035094661630675,-0.6351351351351352,13.6,0.01,,0.0,11.88888888888889,0.0,0.015,,,cross_sports_on_macro,primary_pull
brian_oneill_extension,KXCPI-26OCT-T0.5,unscheduled_sports,macro_bucket,1,14,False,,,,,0.39,,0.0,2.3684210526315788,0.0,,,,cross_sports_on_macro,rescue_next_far_expiry
brian_oneill_extension,KXCPI-26OCT-T0.4,unscheduled_sports,macro_bucket,1,9,False,,,,,0.49,,0.0,2.111111111111111,0.0,,,,cross_sports_on_macro,rescue_next_far_expiry
von_miller_to_cowboys,KXFED-26OCT-T5.00,unscheduled_sports,macro_bucket,1,12,True,,,,,0.01,,0.0,1.0434782608695652,0.0,,,,cross_sports_on_macro,primary_pull
von_miller_to_cowboys,KXCPI-26OCT-T0.4,unscheduled_sports,macro_bucket,1,11,True,0.03590909090909089,0.14414970881773076,0.07907907907907903,2.8333333333333335,0.49,,9.0,5.352941176470588,0.0,,,,cross_sports_on_macro,primary_pull
aaron_donald_comeback,KXFED-26DEC-T5.00,unscheduled_sports,macro_bucket,1,12,False,,,,,0.01,,0.0,16.11909090909091,0.0,,,,cross_sports_on_macro,primary_pull
kawhi_to_raptors,KXFED-26DEC-T5.00,unscheduled_sports,macro_bucket,1,13,True,,,,,0.02,,0.0,7.333333333333333,0.0,,,,cross_sports_on_macro,primary_pull
kawhi_to_raptors,KXCPI-26NOV-T0.5,unscheduled_sports,macro_bucket,1,8,False,-0.15499999999999997,-0.8089193569021063,-0.4492753623188405,9.066666666666666,0.12,,0.0,18.944444444444443,0.0,,,,cross_sports_on_macro,primary_pull
kawhi_to_raptors,KXCPI-26NOV-T0.4,unscheduled_sports,macro_bucket,1,5,False,0.0010000000000000564,0.004912566374082661,0.003521126760563579,9.066666666666666,0.07,,39.0,77.75,0.0,0.25,,,cross_sports_on_macro,primary_pull
myles_garrett_to_rams,KXFED-26SEP-T5.25,unscheduled_sports,macro_bucket,3,8,False,,,,,0.030000000000000002,,0.0,0.5714285714285714,0.0,,,,cross_sports_on_macro,primary_pull
myles_garrett_to_rams,KXFED-26SEP-T5.00,unscheduled_sports,macro_bucket,3,9,False,,,,,0.03,,0.0,9.153846153846153,0.0,,,,cross_sports_on_macro,primary_pull
myles_garrett_to_rams,KXCPI-26JUL-T0.5,unscheduled_sports,macro_bucket,3,25,False,-0.13499999999999995,-0.7290604857861573,-0.42187499999999994,10.683333333333334,0.13333333333333333,,36.38,151.2,1.0,0.19,,,cross_sports_on_macro,primary_pull
myles_garrett_to_rams,KXCPI-26JUL-T0.4,unscheduled_sports,macro_bucket,3,24,False,0.1474999999999999,0.594802097060466,0.3575757575757573,10.683333333333334,0.8099999999999999,,39.0,43.0,22.0,0.5599999999999999,,,cross_sports_on_macro,primary_pull
