event_id,ticker,window_days,reason
mitchell_robinson_to_celtics,KXNBA-26-NYK,3,no_window_data
mitchell_robinson_to_celtics,KXNBA-26-NYK,5,no_window_data
mitchell_robinson_to_celtics,KXNBA-26-DET,1,insufficient_baseline_history_d16
mitchell_robinson_to_celtics,KXNBA-26-DET,3,insufficient_baseline_history_d16
mitchell_robinson_to_celtics,KXNBA-26-DET,5,insufficient_baseline_history_d16
mitchell_robinson_to_celtics,KXNBA-26-CLE,1,insufficient_baseline_history_d16
mitchell_robinson_to_celtics,KXNBA-26-CLE,3,insufficient_baseline_history_d16
mitchell_robinson_to_celtics,KXNBA-26-CLE,5,insufficient_baseline_history_d16
lebron_to_76ers,KXNBA-26-SAS,1,insufficient_baseline_history_d16
lebron_to_76ers,KXNBA-26-SAS,3,insufficient_baseline_history_d16
lebron_to_76ers,KXNBA-26-SAS,5,insufficient_baseline_history_d16
lebron_to_76ers,KXNBA-26-NYK,1,insufficient_baseline_history_d16
lebron_to_76ers,KXNBA-26-NYK,3,insufficient_baseline_history_d16
lebron_to_76ers,KXNBA-26-NYK,5,insufficient_baseline_history_d16
neemias_queta_extension,KXNBA-26-SAS,1,no_window_data
neemias_queta_extension,KXNBA-26-SAS,3,no_window_data
neemias_queta_extension,KXNBA-26-SAS,5,no_window_data
neemias_queta_extension,KXNBA-26-OKC,1,insufficient_baseline_history_d16
neemias_queta_extension,KXNBA-26-OKC,3,insufficient_baseline_history_d16
neemias_queta_extension,KXNBA-26-OKC,5,insufficient_baseline_history_d16
neemias_queta_extension,KXNBA-26-NYK,1,no_window_data
neemias_queta_extension,KXNBA-26-NYK,3,no_window_data
neemias_queta_extension,KXNBA-26-NYK,5,no_window_data
neemias_queta_extension,KXNBA-26-CLE,1,insufficient_baseline_history_d16
neemias_queta_extension,KXNBA-26-CLE,3,insufficient_baseline_history_d16
neemias_queta_extension,KXNBA-26-CLE,5,insufficient_baseline_history_d16
donovan_mitchell_extension,KXNBA-26-SAS,1,no_window_data
donovan_mitchell_extension,KXNBA-26-SAS,3,no_window_data
donovan_mitchell_extension,KXNBA-26-SAS,5,no_window_data
donovan_mitchell_extension,KXNBA-26-OKC,1,insufficient_baseline_history_d16
donovan_mitchell_extension,KXNBA-26-OKC,3,insufficient_baseline_history_d16
donovan_mitchell_extension,KXNBA-26-OKC,5,insufficient_baseline_history_d16
donovan_mitchell_extension,KXNBA-26-NYK,1,no_window_data
donovan_mitchell_extension,KXNBA-26-NYK,3,no_window_data
donovan_mitchell_extension,KXNBA-26-NYK,5,no_window_data
donovan_mitchell_extension,KXNBA-26-CLE,1,insufficient_baseline_history_d16
donovan_mitchell_extension,KXNBA-26-CLE,3,insufficient_baseline_history_d16
donovan_mitchell_extension,KXNBA-26-CLE,5,insufficient_baseline_history_d16
jordan_walsh_extension,KXNBA-26-SAS,1,insufficient_baseline_history_d16
jordan_walsh_extension,KXNBA-26-SAS,3,insufficient_baseline_history_d16
jordan_walsh_extension,KXNBA-26-SAS,5,insufficient_baseline_history_d16
jordan_walsh_extension,KXNBA-26-NYK,1,insufficient_baseline_history_d16
jordan_walsh_extension,KXNBA-26-NYK,3,insufficient_baseline_history_d16
jordan_walsh_extension,KXNBA-26-NYK,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-WAS,1,no_window_data
nba_opening_night,KXNBA-27-WAS,3,no_window_data
nba_opening_night,KXNBA-27-WAS,5,no_window_data
nba_opening_night,KXNBA-27-UTA,1,no_window_data
nba_opening_night,KXNBA-27-UTA,3,no_window_data
nba_opening_night,KXNBA-27-UTA,5,no_window_data
nba_opening_night,KXNBA-27-TOR,1,no_window_data
nba_opening_night,KXNBA-27-TOR,3,no_window_data
nba_opening_night,KXNBA-27-TOR,5,no_window_data
nba_opening_night,KXNBA-27-SAS,1,no_window_data
nba_opening_night,KXNBA-27-SAS,3,no_window_data
nba_opening_night,KXNBA-27-SAS,5,no_window_data
nba_opening_night,KXNBA-27-SAC,1,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-SAC,3,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-SAC,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-POR,1,no_window_data
nba_opening_night,KXNBA-27-POR,3,no_window_data
nba_opening_night,KXNBA-27-POR,5,no_window_data
nba_opening_night,KXNBA-27-PHX,1,no_window_data
nba_opening_night,KXNBA-27-PHX,3,no_window_data
nba_opening_night,KXNBA-27-PHX,5,no_window_data
nba_opening_night,KXNBA-27-PHI,1,no_window_data
nba_opening_night,KXNBA-27-PHI,3,no_window_data
nba_opening_night,KXNBA-27-PHI,5,no_window_data
nba_opening_night,KXNBA-27-ORL,1,no_window_data
nba_opening_night,KXNBA-27-ORL,3,no_window_data
nba_opening_night,KXNBA-27-ORL,5,no_window_data
nba_opening_night,KXNBA-27-OKC,1,no_window_data
nba_opening_night,KXNBA-27-OKC,3,no_window_data
nba_opening_night,KXNBA-27-OKC,5,no_window_data
nba_opening_night,KXNBA-27-NYK,1,no_window_data
nba_opening_night,KXNBA-27-NYK,3,no_window_data
nba_opening_night,KXNBA-27-NYK,5,no_window_data
nba_opening_night,KXNBA-27-NOP,1,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-NOP,3,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-NOP,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-MIN,1,no_window_data
nba_opening_night,KXNBA-27-MIN,3,no_window_data
nba_opening_night,KXNBA-27-MIN,5,no_window_data
nba_opening_night,KXNBA-27-MIL,1,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-MIL,3,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-MIL,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-MIA,1,no_window_data
nba_opening_night,KXNBA-27-MIA,3,no_window_data
nba_opening_night,KXNBA-27-MIA,5,no_window_data
nba_opening_night,KXNBA-27-MEM,1,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-MEM,3,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-MEM,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-LAL,1,no_window_data
nba_opening_night,KXNBA-27-LAL,3,no_window_data
nba_opening_night,KXNBA-27-LAL,5,no_window_data
nba_opening_night,KXNBA-27-LAC,1,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-LAC,3,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-LAC,5,insufficient_baseline_history_d16
nba_opening_night,KXNBA-27-IND,1,no_window_data
nba_opening_night,KXNBA-27-IND,3,no_window_data
nba_opening_night,KXNBA-27-IND,5,no_window_data
nba_opening_night,KXNBA-27-HOU,1,no_window_data
nba_opening_night,KXNBA-27-HOU,3,no_window_data
nba_opening_night,KXNBA-27-HOU,5,no_window_data
nba_opening_night,KXNBA-27-GSW,1,no_window_data
nba_opening_night,KXNBA-27-GSW,3,no_window_data
nba_opening_night,KXNBA-27-GSW,5,no_window_data
nba_opening_night,KXNBA-27-DET,1,no_window_data
nba_opening_night,KXNBA-27-DET,3,no_window_data
nba_opening_night,KXNBA-27-DET,5,no_window_data
nba_opening_night,KXNBA-27-DEN,1,no_window_data
nba_opening_night,KXNBA-27-DEN,3,no_window_data
nba_opening_night,KXNBA-27-DEN,5,no_window_data
nba_opening_night,KXNBA-27-DAL,1,no_window_data
nba_opening_night,KXNBA-27-DAL,3,no_window_data
nba_opening_night,KXNBA-27-DAL,5,no_window_data
nba_opening_night,KXNBA-27-CLE,1,no_window_data
