contrast,a,b,n_a,n_b,n_pairs_a,n_pairs_b,mean_abn_a,mean_abn_b,mean_logodds_a,mean_logodds_b,median_t50h_a,median_t50h_b,t_abn,p_abn,t_t50,p_t50,tested,note,p_abn_holm,p_t50_holm
H1a,unsched_macro,sched_macro,8,1,437,49,0.041776643697499144,0.09180295233961748,0.5095104346229702,0.9051902415713691,4.0,10.0,,,,,False,descriptive only (n<5 unique events in a cell),,
H1b,unsched_sports,sched_sports,14,2,430,62,-0.0011663635043069691,-0.000755659075224293,-0.005877640569089101,-0.056874102009779506,10.841666666666667,6.266666666666667,,,,,False,descriptive only (n<5 unique events in a cell),,
H1c,unsched_sports,unsched_macro,14,8,430,437,-0.0011663635043069691,0.041776643697499144,-0.005877640569089101,0.5095104346229702,10.841666666666667,4.0,-3.56238727680824,0.009124207336570161,0.6116041562728304,0.5555614635029408,True,,0.009124207336570161,0.5555614635029408
H1d,sched_sports,sched_macro,2,1,62,49,-0.000755659075224293,0.09180295233961748,-0.056874102009779506,0.9051902415713691,6.266666666666667,10.0,,,,,False,descriptive only (n<5 unique events in a cell),,
