contrast,a,b,n_a,n_b,n_pairs_a,n_pairs_b,mean_abn_a,mean_abn_b,mean_logodds_a,mean_logodds_b,median_t50h_a,median_t50h_b,t_abn,p_abn,t_t50,p_t50,tested,note,p_abn_holm,p_t50_holm
H1a,unsched_macro,sched_macro,8,15,886,284,0.0482570380904322,0.022123624935354698,0.42232271524471215,0.10645265524272339,28.0,15.5,1.4342498702105466,0.16969333798627287,1.3617380582941359,0.21373172650388372,True,,0.16969333798627287,0.21373172650388372
H1b,unsched_sports,sched_sports,14,4,430,100,-0.0011663635043069691,0.0060767985915051136,-0.005877640569089101,-0.05864830479468156,10.841666666666667,4.0,,,,,False,descriptive only (n<5 unique events in a cell),,
H1c,unsched_sports,unsched_macro,14,8,430,886,-0.0011663635043069691,0.0482570380904322,-0.005877640569089101,0.42232271524471215,10.841666666666667,28.0,-3.6094996846819027,0.008580792562042524,-1.9700893680311613,0.0849250380078247,True,,0.017161585124085048,0.1698500760156494
H1d,sched_sports,sched_macro,4,15,100,284,0.0060767985915051136,0.022123624935354698,-0.05864830479468156,0.10645265524272339,4.0,15.5,,,,,False,descriptive only (n<5 unique events in a cell),,
