event_id,ticker,exclude_reason,n_base,baseline_window,baseline_mean,day0_date,day0_mid,abn_day0,win_end_date,win_end_mid,abn_win_end,vol_day0,vol_base_daily,vol_ratio,label
giannis_to_heat,KXNBA-27-BOS,,8.0,T0-45d..T0,0.1356,2026-06-23,0.135,-0.0006,2026-06-25,0.115,-0.0206,171258.1,6133.9,27.92,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-ATL,,8.0,T0-45d..T0,0.0144,2026-06-23,0.015,0.0006,2026-06-25,0.015,0.0006,1215.7,4176.0,0.29,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-WAS,,8.0,T0-45d..T0,0.01,2026-06-23,0.01,0.0,2026-06-25,0.01,0.0,6857.3,15142.0,0.45,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-SAC,,8.0,T0-45d..T0,0.01,2026-06-23,0.01,0.0,2026-06-25,0.01,0.0,158.7,469.2,0.34,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-UTA,,8.0,T0-45d..T0,0.01,2026-06-23,0.01,0.0,2026-06-25,0.01,0.0,10123.5,7853.3,1.29,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-ORL,,8.0,T0-45d..T0,0.015,2026-06-23,0.015,0.0,2026-06-25,0.015,0.0,294.6,2250.8,0.13,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-PHX,,7.0,T0-45d..T0,0.01,2026-06-23,0.01,0.0,2026-06-25,0.01,0.0,1455.2,878.2,1.66,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-MIL,,6.0,T0-45d..T0,0.01,2026-06-23,0.01,0.0,2026-06-25,0.01,0.0,4418.1,1140.3,3.87,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-MEM,,3.0,T0-45d..T0,0.01,2026-06-23,0.01,0.0,2026-06-25,0.01,0.0,93.5,902.9,0.1,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-LAC,,8.0,T0-45d..T0,0.01,2026-06-23,0.01,0.0,2026-06-25,0.01,0.0,1.0,3779.6,0.0,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-DET,,8.0,T0-45d..T0,0.035,2026-06-23,0.035,0.0,2026-06-25,0.025,-0.01,605.3,2408.7,0.25,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-CHA,,8.0,T0-45d..T0,0.015,2026-06-23,0.015,0.0,2026-06-25,0.015,0.0,734.0,2618.1,0.28,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-CHI,,4.0,T0-45d..T0,0.01,2026-06-23,0.01,0.0,2026-06-25,0.01,0.0,467.6,234.3,2.0,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-TOR,,6.0,T0-45d..T0,0.0125,2026-06-23,,,2026-06-25,0.01,-0.0025,0.0,4650.1,0.0,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-NOP,,4.0,T0-45d..T0,0.01,2026-06-23,,,2026-06-25,0.01,0.0,0.0,218.4,0.0,NON-CONFIRMATORY / POST-PREREG
giannis_to_heat,KXNBA-27-BKN,,4.0,T0-45d..T0,0.01,2026-06-23,,,2026-06-25,0.01,0.0,0.0,260.4,0.0,NON-CONFIRMATORY / POST-PREREG
