ticker,series,event_id,status,market_type,subtitle,yes_sub_title,floor_strike,cap_strike,open_time,close_time,candle_source,n_candles
KXFED-27APR-T6.00,KXFED,tariff_eu_threat,active,binary,6.00%,Above 6.00%,6,,2026-09-18T15:00:00Z,2027-04-28T17:55:00Z,live,1
KXFED-27APR-T5.75,KXFED,tariff_eu_threat,active,binary,5.75%,Above 5.75%,5.75,,2026-09-18T15:00:00Z,2027-04-28T17:55:00Z,live,1
KXFED-27APR-T5.50,KXFED,tariff_eu_threat,active,binary,5.50%,Above 5.50%,5.5,,2026-09-18T15:00:00Z,2027-04-28T17:55:00Z,live,1
KXFED-27APR-T5.25,KXFED,tariff_eu_threat,active,binary,5.25%,Above 5.25%,5.25,,2026-09-18T15:00:00Z,2027-04-28T17:55:00Z,live,1
KXFED-27APR-T5.00,KXFED,tariff_eu_threat,active,binary,5.00%,Above 5.00%,5,,2026-09-18T15:00:00Z,2027-04-28T17:55:00Z,live,1
KXFED-27APR-T4.75,KXFED,tariff_eu_threat,active,binary,4.75%,Above 4.75%,4.75,,2026-09-18T15:00:00Z,2027-04-28T17:55:00Z,live,1
KXFED-27APR-T4.50,KXFED,tariff_eu_threat,active,binary,4.50%,Above 4.50%,4.5,,2026-09-18T15:00:00Z,2027-04-28T17:55:00Z,live,1
KXFED-27MAR-T6.00,KXFED,tariff_eu_threat,active,binary,6.00%,Above 6.00%,6,,2026-09-18T15:00:00Z,2027-03-17T17:55:00Z,live,1
KXFED-27MAR-T5.75,KXFED,tariff_eu_threat,active,binary,5.75%,Above 5.75%,5.75,,2026-09-18T15:00:00Z,2027-03-17T17:55:00Z,live,1
KXFED-27MAR-T5.50,KXFED,tariff_eu_threat,active,binary,5.50%,Above 5.50%,5.5,,2026-09-18T15:00:00Z,2027-03-17T17:55:00Z,live,1
KXFED-27MAR-T5.25,KXFED,tariff_eu_threat,active,binary,5.25%,Above 5.25%,5.25,,2026-09-18T15:00:00Z,2027-03-17T17:55:00Z,live,1
KXFED-27MAR-T5.00,KXFED,tariff_eu_threat,active,binary,5.00%,Above 5.00%,5,,2026-09-18T15:00:00Z,2027-03-17T17:55:00Z,live,1
