contrast,a,b,n_a,n_b,n_pairs_a,n_pairs_b,mean_abn_a,mean_abn_b,mean_logodds_a,mean_logodds_b,median_t50h_a,median_t50h_b,t_abn,p_abn,t_t50,p_t50,tested,note,p_abn_holm,p_t50_holm
H1a,unsched_macro,sched_macro,8,1,869,82,0.0505968718278421,0.09340283334918348,0.45557662590997156,0.7124919405341996,28.0,28.0,,,,,False,descriptive only (n<5 unique events in a cell),,
H1b,unsched_sports,sched_sports,14,2,430,62,-0.0011663635043069691,-0.000755659075224293,-0.005877640569089101,-0.056874102009779506,10.841666666666667,6.266666666666667,,,,,False,descriptive only (n<5 unique events in a cell),,
H1c,unsched_sports,unsched_macro,14,8,430,869,-0.0011663635043069691,0.0505968718278421,-0.005877640569089101,0.45557662590997156,10.841666666666667,28.0,-3.7969697126409163,0.006698873650746482,-1.9106175871915687,0.09202708839551509,True,,0.006698873650746482,0.09202708839551509
H1d,sched_sports,sched_macro,2,1,62,82,-0.000755659075224293,0.09340283334918348,-0.056874102009779506,0.7124919405341996,6.266666666666667,28.0,,,,,False,descriptive only (n<5 unique events in a cell),,
