cell,tier,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t_abn,p_abn,median_t50h,note
sched_macro,M?,1,82,False,0.09340283334918348,0.7124919405341996,,,,,28.0,descriptive only (n<5 unique events)
sched_sports,S1,2,62,False,-0.000755659075224293,-0.056874102009779506,,,,,6.266666666666667,descriptive only (n<5 unique events)
unsched_macro,M?,8,869,True,0.0505968718278421,0.45557662590997156,0.018387750339856637,0.08280599331582757,3.7145561450349986,0.007509657983733578,28.0,
unsched_sports,S1,14,430,True,-0.0011663635043069691,-0.005877640569089101,-0.002377529003177013,4.480199456307504e-05,-2.0804548668993856,0.05782550700924238,10.841666666666667,
