cell,tier,n_events,n_pairs,tested,mean_abn,mean_abn_logodds,ci95_lo,ci95_hi,t_abn,p_abn,median_t50h,note
sched_macro,M?,1,41,False,0.06930074201389211,0.758925630990982,,,,,4.0,descriptive only (n<5 unique events)
sched_sports,S1,2,62,False,-0.000755659075224293,-0.056874102009779506,,,,,6.266666666666667,descriptive only (n<5 unique events)
unsched_macro,M?,8,447,True,0.04600007255568822,0.5528381734510422,0.0155434687879148,0.07645667632346165,3.571405661077283,0.009079841097193177,4.0,
unsched_sports,S1,14,430,True,-0.0011663635043069691,-0.005877640569089101,-0.002377529003177013,4.480199456307504e-05,-2.0804548668993856,0.05782550700924238,10.841666666666667,
