contrast,a,b,n_a,n_b,n_pairs_a,n_pairs_b,mean_abn_a,mean_abn_b,mean_logodds_a,mean_logodds_b,median_t50h_a,median_t50h_b,t_abn,p_abn,t_t50,p_t50,tested,note,p_abn_holm,p_t50_holm
H1a,unsched_macro,sched_macro,8,1,447,41,0.04600007255568822,0.06930074201389211,0.5528381734510422,0.758925630990982,4.0,4.0,,,,,False,descriptive only (n<5 unique events in a cell),,
H1b,unsched_sports,sched_sports,14,2,430,62,-0.0011663635043069691,-0.000755659075224293,-0.005877640569089101,-0.056874102009779506,10.841666666666667,6.266666666666667,,,,,False,descriptive only (n<5 unique events in a cell),,
H1c,unsched_sports,unsched_macro,14,8,430,447,-0.0011663635043069691,0.04600007255568822,-0.005877640569089101,0.5528381734510422,10.841666666666667,4.0,-3.658497095202909,0.008033166826315769,1.0170349001792056,0.3347049943554832,True,,0.008033166826315769,0.3347049943554832
H1d,sched_sports,sched_macro,2,1,62,41,-0.000755659075224293,0.06930074201389211,-0.056874102009779506,0.758925630990982,6.266666666666667,4.0,,,,,False,descriptive only (n<5 unique events in a cell),,
